source,target,agreement_count,disagreement_count,total_votes,signed_weight,agreement_fraction
1366,4812,313,119,432,194,0.7245370370370371
1366,9369,175,308,483,-133,0.36231884057971014
1366,10808,343,108,451,235,0.7605321507760532
1366,11044,170,296,466,-126,0.3648068669527897
1366,11204,375,100,475,275,0.7894736842105263
1366,12109,180,300,480,-120,0.375
1366,13039,378,105,483,273,0.782608695652174
1366,13056,339,136,475,203,0.7136842105263158
1366,14009,151,327,478,-176,0.3158995815899582
1366,14031,151,330,481,-179,0.31392931392931395
1366,14101,343,125,468,218,0.7329059829059829
1366,14103,167,300,467,-133,0.3576017130620985
1366,14105,153,316,469,-163,0.326226012793177
1366,14203,349,133,482,216,0.7240663900414938
1366,14213,331,129,460,202,0.7195652173913043
1366,14226,161,322,483,-161,0.3333333333333333
1366,14230,364,115,479,249,0.7599164926931107
1366,14240,213,258,471,-45,0.45222929936305734
1366,14307,345,123,468,222,0.7371794871794872
1366,14400,342,119,461,223,0.7418655097613883
1366,14440,375,101,476,274,0.7878151260504201
1366,14500,97,141,238,-44,0.40756302521008403
1366,14503,162,310,472,-148,0.3432203389830508
1366,14506,176,302,478,-126,0.3682008368200837
1366,14508,302,134,436,168,0.6926605504587156
1366,14617,352,120,472,232,0.7457627118644068
1366,14628,127,354,481,-227,0.26403326403326405
1366,14661,224,259,483,-35,0.463768115942029
1366,14709,358,123,481,235,0.7442827442827443
1366,14712,172,306,478,-134,0.3598326359832636
1366,14809,140,342,482,-202,0.29045643153526973
1366,14812,377,102,479,275,0.7870563674321504
1366,14826,140,322,462,-182,0.30303030303030304
1366,14852,158,323,481,-165,0.3284823284823285
1366,14858,347,133,480,214,0.7229166666666667
1366,14871,346,136,482,210,0.7178423236514523
1366,14904,155,310,465,-155,0.3333333333333333
1366,14907,137,328,465,-191,0.2946236559139785
1366,14908,125,357,482,-232,0.25933609958506226
1366,14910,246,229,475,17,0.5178947368421053
1366,14912,340,139,479,201,0.7098121085594989
1366,14914,346,126,472,220,0.7330508474576272
1366,14920,349,123,472,226,0.739406779661017
1366,14921,153,329,482,-176,0.31742738589211617
1366,14922,357,116,473,241,0.7547568710359408
1366,15011,347,114,461,233,0.7527114967462039
1366,15020,188,294,482,-106,0.3900414937759336
1366,15021,353,127,480,226,0.7354166666666667
1366,15037,138,323,461,-185,0.2993492407809111
1366,15039,121,226,347,-105,0.34870317002881845
1366,15054,356,126,482,230,0.7385892116182573
1366,15071,347,122,469,225,0.7398720682302772
1366,15116,145,338,483,-193,0.3002070393374741
1366,15406,142,327,469,-185,0.302771855010661
1366,15424,138,326,464,-188,0.2974137931034483
1366,15425,352,131,483,221,0.7287784679089027
1366,15429,138,344,482,-206,0.2863070539419087
1366,15501,154,322,476,-168,0.3235294117647059
1366,15502,369,112,481,257,0.7671517671517671
1366,15503,333,146,479,187,0.6951983298538622
1366,15633,137,337,474,-200,0.2890295358649789
1366,15700,364,117,481,247,0.7567567567567568
1366,15701,155,319,474,-164,0.3270042194092827
1366,15702,341,138,479,203,0.7118997912317327
1366,15703,370,104,474,266,0.7805907172995781
1366,15704,345,102,447,243,0.7718120805369127
1366,15705,342,141,483,201,0.7080745341614907
1366,29108,124,355,479,-231,0.2588726513569937
1366,29141,167,310,477,-143,0.350104821802935
1366,29142,358,125,483,233,0.7412008281573499
1366,29305,349,131,480,218,0.7270833333333333
1366,29306,149,315,464,-166,0.32112068965517243
1366,29345,131,337,468,-206,0.2799145299145299
1366,29367,133,339,472,-206,0.2817796610169492
1366,29523,134,344,478,-210,0.2803347280334728
1366,49101,358,121,479,237,0.7473903966597077
1366,49300,350,117,467,233,0.7494646680942184
1366,49301,130,294,424,-164,0.30660377358490565
1366,49306,164,314,478,-150,0.34309623430962344
1366,49307,166,311,477,-145,0.3480083857442348
1366,49308,329,135,464,194,0.709051724137931
1366,49309,348,135,483,213,0.7204968944099379
1366,49500,184,299,483,-115,0.38095238095238093
1366,49501,158,320,478,-162,0.3305439330543933
1366,49502,164,314,478,-150,0.34309623430962344
1366,49503,158,324,482,-166,0.3278008298755187
1366,49700,154,326,480,-172,0.32083333333333336
1366,49701,363,120,483,243,0.7515527950310559
1366,49702,333,141,474,192,0.7025316455696202
1366,49703,199,284,483,-85,0.41200828157349895
1366,49704,142,338,480,-196,0.29583333333333334
1366,49705,167,312,479,-145,0.348643006263048
1366,49706,125,357,482,-232,0.25933609958506226
1366,49900,158,303,461,-145,0.34273318872017355
1366,49901,354,129,483,225,0.7329192546583851
1366,49902,361,119,480,242,0.7520833333333333
1366,49903,160,313,473,-153,0.3382663847780127
1366,49904,16,19,35,-3,0.45714285714285713
1366,49905,124,90,214,34,0.5794392523364486
1366,94659,155,323,478,-168,0.32426778242677823
1366,95407,177,300,477,-123,0.3710691823899371
1366,99909,32,16,48,16,0.6666666666666666
4812,9369,106,328,434,-222,0.24423963133640553
4812,10808,359,51,410,308,0.875609756097561
4812,11044,132,285,417,-153,0.31654676258992803
4812,11204,356,70,426,286,0.8356807511737089
4812,12109,134,299,433,-165,0.3094688221709007
4812,13039,372,62,434,310,0.8571428571428571
4812,13056,346,84,430,262,0.8046511627906977
4812,14009,121,309,430,-188,0.2813953488372093
4812,14031,105,327,432,-222,0.24305555555555555
4812,14101,352,67,419,285,0.8400954653937948
4812,14103,124,296,420,-172,0.29523809523809524
4812,14105,71,350,421,-279,0.16864608076009502
4812,14203,365,68,433,297,0.8429561200923787
4812,14213,363,50,413,313,0.8789346246973365
4812,14226,119,315,434,-196,0.27419354838709675
4812,14230,370,60,430,310,0.8604651162790697
4812,14240,185,237,422,-52,0.43838862559241704
4812,14307,360,68,428,292,0.8411214953271028
4812,14400,381,31,412,350,0.9247572815533981
4812,14440,369,58,427,311,0.8641686182669789
4812,14500,89,140,229,-51,0.388646288209607
4812,14503,124,304,428,-180,0.2897196261682243
4812,14506,137,292,429,-155,0.31934731934731936
4812,14508,349,47,396,302,0.8813131313131313
4812,14617,387,37,424,350,0.9127358490566038
4812,14628,83,349,432,-266,0.19212962962962962
4812,14661,153,281,434,-128,0.35253456221198154
4812,14709,393,39,432,354,0.9097222222222222
4812,14712,136,294,430,-158,0.31627906976744186
4812,14809,90,343,433,-253,0.20785219399538107
4812,14812,368,63,431,305,0.8538283062645011
4812,14826,82,335,417,-253,0.19664268585131894
4812,14852,116,316,432,-200,0.26851851851851855
4812,14858,373,58,431,315,0.8654292343387471
4812,14871,367,66,433,301,0.8475750577367206
4812,14904,116,300,416,-184,0.27884615384615385
4812,14907,98,318,416,-220,0.23557692307692307
4812,14908,90,344,434,-254,0.2073732718894009
4812,14910,174,252,426,-78,0.4084507042253521
