congress,chamber,rollnumber,icpsr,cast_code,prob
84,Senate,1,52,1,
84,Senate,1,142,1,
84,Senate,1,165,1,
84,Senate,1,437,1,
84,Senate,1,464,1,
84,Senate,1,546,1,
84,Senate,1,621,1,
84,Senate,1,645,1,
84,Senate,1,688,1,
84,Senate,1,1024,1,
84,Senate,1,1027,1,
84,Senate,1,1329,1,
84,Senate,1,1341,1,
84,Senate,1,1365,1,
84,Senate,1,1489,1,
84,Senate,1,1510,1,
84,Senate,1,1569,1,
84,Senate,1,1570,3,
84,Senate,1,1678,3,
84,Senate,1,1831,1,
84,Senate,1,2087,1,
84,Senate,1,2267,1,
84,Senate,1,2326,1,
84,Senate,1,2609,1,
84,Senate,1,2691,1,
84,Senate,1,2745,1,
84,Senate,1,2803,1,
84,Senate,1,2822,1,
84,Senate,1,2901,1,
84,Senate,1,2987,3,
84,Senate,1,3206,1,
84,Senate,1,3349,1,
84,Senate,1,3388,1,
84,Senate,1,3536,1,
84,Senate,1,3658,1,
84,Senate,1,3704,1,
84,Senate,1,3783,3,
84,Senate,1,4227,1,
84,Senate,1,4328,1,
84,Senate,1,4382,1,
84,Senate,1,4418,1,
84,Senate,1,4520,1,
84,Senate,1,4660,1,
84,Senate,1,4728,1,
84,Senate,1,4834,1,
84,Senate,1,4851,1,
84,Senate,1,4922,1,
84,Senate,1,4979,1,
84,Senate,1,5009,1,
84,Senate,1,5122,1,
84,Senate,1,5180,3,
84,Senate,1,5213,3,
84,Senate,1,5240,1,
84,Senate,1,5343,1,
84,Senate,1,5372,1,
84,Senate,1,5452,1,
84,Senate,1,5591,7,
84,Senate,1,5767,1,
84,Senate,1,5913,1,
84,Senate,1,5944,1,
84,Senate,1,5967,1,
84,Senate,1,6021,1,
84,Senate,1,6039,1,
84,Senate,1,6137,1,
84,Senate,1,6151,1,
84,Senate,1,6366,1,
84,Senate,1,6525,1,
84,Senate,1,6597,3,
84,Senate,1,6738,1,
84,Senate,1,6796,1,
84,Senate,1,6820,1,
84,Senate,1,6856,1,
84,Senate,1,6882,1,
84,Senate,1,7070,3,
84,Senate,1,7229,3,
84,Senate,1,7271,1,
84,Senate,1,7551,1,
84,Senate,1,7656,1,
84,Senate,1,7958,1,
84,Senate,1,8138,3,
84,Senate,1,8185,1,
84,Senate,1,8270,1,
84,Senate,1,8313,1,
84,Senate,1,8593,3,
84,Senate,1,8635,1,
84,Senate,1,8666,1,
84,Senate,1,8764,1,
84,Senate,1,8883,1,
84,Senate,1,9141,1,
84,Senate,1,9374,1,
84,Senate,1,9865,1,
84,Senate,1,9930,1,
84,Senate,1,10110,1,
84,Senate,1,10163,1,
84,Senate,1,10450,1,
84,Senate,1,99369,1,
84,Senate,1,99901,9,
84,Senate,2,52,6,98.03536950313321
84,Senate,2,142,6,98.71792470003
84,Senate,2,165,6,91.85369792432463
84,Senate,2,437,6,82.97351873589325
84,Senate,2,464,6,98.36529062347259
84,Senate,2,546,6,98.58918657395738
84,Senate,2,621,6,98.6844192005061
84,Senate,2,645,6,98.55194261292965
84,Senate,2,688,6,90.18064277484065
84,Senate,2,1024,4,98.2821659598774
84,Senate,2,1027,6,98.72578899262916
84,Senate,2,1329,6,98.8269894424026
84,Senate,2,1341,6,98.53891532035168
84,Senate,2,1365,6,96.73995339999955
84,Senate,2,1489,6,98.54710430220808
84,Senate,2,1510,6,98.49097613259667
84,Senate,2,1569,6,96.56273971150613
84,Senate,2,1570,6,98.16832278437886
84,Senate,2,1678,2,9.245824519899903
84,Senate,2,1831,6,89.41543266752689
84,Senate,2,2087,6,98.60873993298162
84,Senate,2,2267,6,98.09950810600641
84,Senate,2,2326,6,94.42704961851989
84,Senate,2,2609,6,98.7484204117924
84,Senate,2,2691,6,65.06391756854339
84,Senate,2,2745,6,98.33685465131512
84,Senate,2,2803,6,98.18687760525549
84,Senate,2,2822,6,92.99117747782068
84,Senate,2,2901,6,90.59301811125555
84,Senate,2,2987,6,91.75738763006652
84,Senate,2,3206,4,98.66504046013539
84,Senate,2,3349,4,95.85605602302974
84,Senate,2,3388,6,76.46078284360085
84,Senate,2,3536,6,94.83852525823659
84,Senate,2,3658,6,97.83439856595209
84,Senate,2,3704,6,83.32225674829496
84,Senate,2,3783,4,85.94084627208261
84,Senate,2,4227,6,90.46934147610739
84,Senate,2,4328,6,85.04500769271618
84,Senate,2,4382,6,98.62473946676393
84,Senate,2,4418,6,84.77256921530758
84,Senate,2,4520,6,95.0203274919052
84,Senate,2,4660,6,98.28473137215491
84,Senate,2,4728,6,82.1827370317926
84,Senate,2,4834,6,98.1321808271445
84,Senate,2,4851,6,88.2892517931482
84,Senate,2,4922,6,97.82474672392735
84,Senate,2,4979,5,88.36920075178125
84,Senate,2,5009,6,88.17477179667694
84,Senate,2,5122,6,76.54195894627556
84,Senate,2,5180,7,88.7871328558378
84,Senate,2,5213,6,88.47254188904957
84,Senate,2,5240,6,73.73112864177713
84,Senate,2,5343,6,98.64367390107213
84,Senate,2,5372,6,98.34421280546279
84,Senate,2,5452,1,4.120250600767297
84,Senate,2,5591,1,47.6413368997133
84,Senate,2,5767,6,88.54646467649526
84,Senate,2,5913,6,85.960247098929
84,Senate,2,5944,6,97.49841118329033
84,Senate,2,5967,6,75.19005087297809
84,Senate,2,6021,6,98.66255698084157
84,Senate,2,6039,6,98.49927949791285
84,Senate,2,6137,4,98.26829206459439
84,Senate,2,6151,6,93.1293581396032
84,Senate,2,6366,6,63.57091415528199
84,Senate,2,6525,6,98.36960960487532
84,Senate,2,6597,6,88.35849124602373
84,Senate,2,6738,1,73.95650508780768
84,Senate,2,6796,6,98.29498765562849
84,Senate,2,6820,6,76.411113291077
84,Senate,2,6856,4,83.74882284375256
84,Senate,2,6882,6,68.3734557096233
84,Senate,2,7070,6,90.32145881330443
84,Senate,2,7229,6,91.15106280864151
84,Senate,2,7271,6,98.27042567772118
84,Senate,2,7551,4,98.6668543854621
84,Senate,2,7656,6,98.69604458847257
84,Senate,2,7958,6,95.1424435228775
84,Senate,2,8138,6,92.66741126102733
84,Senate,2,8185,6,98.57945535034656
84,Senate,2,8270,6,98.27396783881346
84,Senate,2,8313,6,86.71691624594321
84,Senate,2,8593,6,91.00659359897281
84,Senate,2,8635,6,98.63283107572862
84,Senate,2,8666,6,98.19431239058164
84,Senate,2,8764,6,88.17022226719652
84,Senate,2,8883,6,91.42085852488239
84,Senate,2,9141,6,85.89913861719059
84,Senate,2,9374,6,98.27015974744053
84,Senate,2,9865,6,98.55540394168925
84,Senate,2,9930,6,97.43426558820981
84,Senate,2,10110,6,98.47730655265738
84,Senate,2,10163,6,98.15487747797901
84,Senate,2,10450,6,97.69779455108205
84,Senate,2,99369,6,95.37475280130778
84,Senate,2,99901,6,98.82860527734594
84,Senate,3,52,6,97.38862545558298
84,Senate,3,142,6,99.30622575419741
84,Senate,3,165,6,82.0589237612905
84,Senate,3,437,6,59.34607879508972
84,Senate,3,464,6,99.30845070864363
84,Senate,3,546,6,98.69489366294229
84,Senate,3,621,6,98.62110967356635
84,Senate,3,645,6,99.53872249742915
84,Senate,3,688,6,79.6360112255586
84,Senate,3,1024,4,99.5809991916462
84,Senate,3,1027,6,99.4437667202633
84,Senate,3,1329,6,99.10177352103429
84,Senate,3,1341,6,99.42522790786677
84,Senate,3,1365,6,97.8597730703156
84,Senate,3,1489,6,99.43023993268847
84,Senate,3,1510,6,98.99515762882963
84,Senate,3,1569,6,92.36156045188298
84,Senate,3,1570,6,98.91369825678132
84,Senate,3,1678,4,80.1531264146428
84,Senate,3,1831,6,76.72682930568662
84,Senate,3,2087,6,99.47906062037522
84,Senate,3,2267,6,99.53280957581838
84,Senate,3,2326,6,93.54231491788558
84,Senate,3,2609,6,99.32828853656808
84,Senate,3,2691,6,35.132922862495676
84,Senate,3,2745,6,97.84877881680839
84,Senate,3,2803,6,99.42055857244382
84,Senate,3,2822,6,92.14109924542123
84,Senate,3,2901,6,85.62719165357981
84,Senate,3,2987,6,88.84376939583125
84,Senate,3,3206,4,98.63934926012448
84,Senate,3,3349,4,95.12477219200791
