congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0.0,USA,200.0,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
117,President,99913,99,0.0,USA,100.0,0,0,"BIDEN, Joseph Robinette (Joe), Jr.",B000444,1942.0,,-0.32,0.283,,,,,,,
117,Senate,42102,41,0.0,AL,200.0,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954.0,,0.936,-0.352,-90.88991,0.90271,888,35,,0.936,-0.352
117,Senate,94659,41,0.0,AL,200.0,,,"SHELBY, Richard C.",S000320,1934.0,,0.446,0.57,-163.57584,0.82305,840,90,,0.536,0.494
117,Senate,40300,81,0.0,AK,200.0,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.203,-0.304,-137.32532,0.84951,842,63,,0.212,-0.371
117,Senate,41500,81,0.0,AK,200.0,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.463,0.187,-251.80302,0.74438,853,117,,0.484,0.069
117,Senate,21300,61,0.0,AZ,100.0,,,"SINEMA, Kyrsten",S001191,1976.0,,-0.105,0.076,-40.94784,0.95402,870,11,,-0.153,0.212
117,Senate,41905,61,0.0,AZ,100.0,,,"KELLY, Mark Edward",K000377,1964.0,,-0.267,0.289,-38.57803,0.95749,888,19,,-0.217,0.42
117,Senate,20101,42,0.0,AR,200.0,,,"BOOZMAN, John",B001236,1950.0,,0.426,0.34,-172.85554,0.82526,900,77,,0.546,0.322
117,Senate,21301,42,0.0,AR,200.0,,,"COTTON, Thomas Bryant (Tom)",C001095,1977.0,,0.578,0.201,-125.54351,0.8683,889,53,,0.641,0.206
117,Senate,41701,71,0.0,CA,100.0,,,"HARRIS, Kamala Devi",H001075,1964.0,,-0.709,-0.105,-0.00037,0.99981,2,0,,0.0,0.0
117,Senate,42104,71,0.0,CA,100.0,,,"PADILLA, Alejandro (Alex)",P000145,1973.0,,-0.443,-0.241,-11.38536,0.98733,893,4,,-0.418,-0.381
117,Senate,49300,71,0.0,CA,100.0,,,"FEINSTEIN, Dianne",F000062,1933.0,2023.0,-0.268,-0.184,-9.42012,0.98821,794,1,,-0.296,-0.196
117,Senate,40910,62,0.0,CO,100.0,,,"BENNET, Michael F.",B001267,1964.0,,-0.245,-0.188,-16.40727,0.98167,887,6,,-0.287,-0.026
117,Senate,42101,62,0.0,CO,100.0,,,"HICKENLOOPER, John Wright",H000273,1952.0,,-0.301,0.002,-28.1789,0.96852,881,7,,-0.229,-0.108
117,Senate,20707,1,0.0,CT,100.0,,,"MURPHY, Christopher",M001169,1973.0,,-0.289,-0.259,-16.86372,0.98117,887,6,,-0.32,-0.26
117,Senate,41101,1,0.0,CT,100.0,,,"BLUMENTHAL, Richard",B001277,1946.0,,-0.433,-0.155,-20.14593,0.97767,892,7,,-0.365,-0.242
117,Senate,15015,11,0.0,DE,100.0,,,"CARPER, Thomas Richard",C000174,1947.0,,-0.179,-0.225,-31.20682,0.96603,903,8,,-0.304,-0.333
117,Senate,40916,11,0.0,DE,100.0,,,"COONS, Christopher A.",C001088,1963.0,,-0.24,-0.208,-12.17535,0.98656,900,3,,-0.255,-0.197
117,Senate,41102,43,0.0,FL,200.0,,,"RUBIO, Marco",R000595,1971.0,,0.616,-0.184,-148.43667,0.84097,857,58,,0.647,-0.106
117,Senate,41903,43,0.0,FL,200.0,,,"SCOTT, Richard Lynn (Rick)",S001217,1952.0,,0.733,-0.079,-96.68882,0.89672,887,42,,0.723,0.182
117,Senate,41904,44,0.0,GA,200.0,,,"LOEFFLER, Kelly",L000594,1970.0,,0.555,-0.203,-0.16867,0.91912,2,0,,0.0,0.0
117,Senate,42103,44,0.0,GA,100.0,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987.0,,-0.462,0.473,-25.56484,0.97088,865,9,,-0.465,0.513
117,Senate,42105,44,0.0,GA,100.0,,,"WARNOCK, Raphael Gamaliel",W000790,1969.0,,-0.435,0.423,-28.39341,0.96741,857,14,,-0.392,0.463
117,Senate,20713,82,0.0,HI,100.0,,,"HIRONO, Mazie",H001042,1947.0,,-0.512,-0.086,-13.24446,0.98539,900,4,,-0.483,-0.196
117,Senate,41112,82,0.0,HI,100.0,,,"SCHATZ, Brian Emanuel",S001194,1972.0,,-0.444,-0.135,-19.09258,0.97878,890,6,,-0.443,-0.027
117,Senate,29345,63,0.0,ID,200.0,,,"CRAPO, Michael Dean",C000880,1951.0,,0.505,0.291,-180.64555,0.8163,890,96,,0.45,0.395
117,Senate,40902,63,0.0,ID,200.0,,,"RISCH, James",R000584,1943.0,,0.551,0.382,-164.5045,0.82214,840,85,,0.466,0.412
117,Senate,15021,21,0.0,IL,100.0,,,"DURBIN, Richard Joseph",D000563,1944.0,,-0.339,-0.313,-9.36545,0.98969,904,2,,-0.313,-0.181
117,Senate,21325,21,0.0,IL,100.0,,,"DUCKWORTH, Tammy",D000622,1968.0,,-0.345,0.057,-13.88818,0.98445,886,5,,-0.322,-0.212
117,Senate,21133,22,0.0,IN,200.0,,,"YOUNG, Todd",Y000064,1972.0,,0.444,-0.042,-164.20569,0.83013,882,56,,0.419,0.02
117,Senate,41900,22,0.0,IN,200.0,,,"BRAUN, Michael",B001310,1954.0,,0.8,0.6,-90.60235,0.90217,880,38,,0.74,0.375
117,Senate,14226,31,0.0,IA,200.0,,,"GRASSLEY, Charles Ernest",G000386,1933.0,,0.362,-0.034,-237.88075,0.76908,906,113,,0.417,-0.12
117,Senate,41502,31,0.0,IA,200.0,,,"ERNST, Joni",E000295,1970.0,,0.536,-0.027,-171.94505,0.82159,875,75,,0.574,-0.16
117,Senate,21734,32,0.0,KS,200.0,,,"MARSHALL, Roger Wayne",M001198,1960.0,,0.606,0.142,-119.32059,0.87374,884,47,,0.643,0.099
117,Senate,29722,32,0.0,KS,200.0,,,"MORAN, Jerry",M000934,1954.0,,0.413,0.222,-151.8694,0.82942,812,63,,0.413,0.328
117,Senate,14921,51,0.0,KY,200.0,,,"MCCONNELL, Addison Mitchell (Mitch)",M000355,1942.0,,0.402,0.017,-204.19461,0.79354,883,89,,0.419,0.015
