congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
113,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.358,-0.197,-41.04464,0.882,327,11,,,
113,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard (Jeff), III",S001141,1946,,0.549,0.13,-101.80298,0.82789,539,45,,0.619,0.082
113,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.446,0.57,-107.52013,0.82096,545,53,,0.515,0.602
113,Senate,40300,81,0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.203,-0.304,-150.24968,0.74738,516,75,,0.124,-0.411
113,Senate,40900,81,0,AK,100,0,1,"BEGICH, Mark",B001265,1962,,-0.235,0.15,-48.13809,0.91,512,21,,-0.241,0.348
113,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-132.74405,0.77659,525,67,,0.412,-0.579
113,Senate,20100,61,0,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-259.88598,0.61522,535,131,,0.476,-0.731
113,Senate,20101,42,0,AR,200,0,1,"BOOZMAN, John",B001236,1950,,0.426,0.34,-81.49498,0.84988,501,25,,0.429,0.457
113,Senate,40301,42,0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-64.2729,0.885,528,26,,-0.16,0.491
113,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-19.24984,0.963,512,8,,-0.537,-0.097
113,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,2023.0,-0.268,-0.184,-22.99643,0.95698,523,9,,-0.346,-0.278
113,Senate,29906,62,0,CO,100,0,1,"UDALL, Mark",U000038,1950,,-0.353,0.049,-35.83642,0.933,519,11,,-0.248,-0.069
113,Senate,40910,62,0,CO,100,0,1,"BENNET, Michael F.",B001267,1964,,-0.245,-0.188,-28.10369,0.95001,548,9,,-0.246,-0.081
113,Senate,20707,1,0,CT,100,0,1,"MURPHY, Christopher",M001169,1973,,-0.289,-0.259,-29.32321,0.9479,548,13,,-0.499,-0.248
113,Senate,41101,1,0,CT,100,0,1,"BLUMENTHAL, Richard",B001277,1946,,-0.433,-0.155,-17.88273,0.96807,551,8,,-0.512,-0.332
113,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.179,-0.225,-54.1019,0.90648,551,13,,-0.254,-0.172
113,Senate,40916,11,0,DE,100,0,1,"COONS, Christopher A.",C001088,1963,,-0.24,-0.208,-25.34879,0.95423,541,10,,-0.307,0.043
113,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-47.90329,0.91451,536,19,,-0.276,-0.079
113,Senate,41102,43,0,FL,200,0,1,"RUBIO, Marco",R000595,1971,,0.616,-0.184,-150.2163,0.75076,524,62,,0.663,-0.681
113,Senate,29512,44,0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-135.34325,0.753,478,64,,0.343,0.17
113,Senate,29909,44,0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,2021.0,0.402,-0.011,-127.50436,0.78546,528,61,,0.321,0.19
113,Senate,20713,82,0,HI,100,0,1,"HIRONO, Mazie",H001042,1947,,-0.512,-0.086,-16.0576,0.97128,551,8,,-0.507,0.056
113,Senate,41112,82,0,HI,100,0,5,"SCHATZ, Brian Emanuel",S001194,1972,,-0.444,-0.135,-9.68852,0.98115,509,3,,-0.478,-0.025
113,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.505,0.291,-104.50153,0.8261,547,44,,0.661,0.431
113,Senate,40902,63,0,ID,200,0,1,"RISCH, James",R000584,1943,,0.551,0.382,-80.27609,0.86186,540,33,,0.772,0.578
113,Senate,15021,21,0,IL,100,0,1,"DURBIN, Richard Joseph",D000563,1944,,-0.339,-0.313,-18.7287,0.96652,550,8,,-0.336,-0.286
113,Senate,20115,21,0,IL,200,0,1,"KIRK, Mark Steven",K000360,1959,,0.274,-0.647,-176.7963,0.705,506,92,,0.345,-0.76
113,Senate,14806,22,0,IN,200,0,1,"COATS, Daniel Ray",C000542,1943,,0.375,-0.227,-123.88821,0.795,539,55,,0.407,-0.019
113,Senate,20717,22,0,IN,100,0,1,"DONNELLY, Joe",D000607,1955,,-0.119,0.435,-62.27828,0.89276,549,16,,-0.171,0.318
