congress_number,folder_name,ppp_count,pnn_count,other_count,total_triangles,pnn_over_total
76,76th_congress,46438,73054,45886,165378,0.44173953
77,77th_congress,56330,80651,46147,183128,0.44040780
78,78th_congress,54909,61719,54006,170634,0.36170400
79,79th_congress,68782,64620,49422,182824,0.35345469
80,80th_congress,42149,77080,26046,145275,0.53057993
81,81th_congress,57886,89635,44731,192252,0.46623702
82,82th_congress,47251,65245,36176,148672,0.43885197
83,83th_congress,60052,87895,47238,195185,0.45031637
84,84th_congress,40752,78410,38194,157356,0.49829686
85,85th_congress,46248,69714,44547,160509,0.43433079
86,86th_congress,54194,78388,47297,179879,0.43578183
87,87th_congress,62557,81179,46344,190080,0.42707807
88,88th_congress,59830,77608,43043,180481,0.43000648
89,89th_congress,61592,81817,35613,179022,0.45702204
90,90th_congress,64248,57789,47281,169318,0.34130453
91,91th_congress,63068,68329,43646,175043,0.39035551
92,92th_congress,62857,68378,44014,175249,0.39017626
93,93th_congress,68281,69580,39435,177296,0.39245104
94,94th_congress,68205,67425,34786,170416,0.39564947
95,95th_congress,79218,63572,43259,186049,0.34169493
96,96th_congress,71697,56294,42112,170103,0.33094067
97,97th_congress,54002,80550,36648,171200,0.47050234
98,98th_congress,66796,58494,44720,170010,0.34406211
99,99th_congress,61882,70678,38242,170802,0.41380078
100,100th_congress,58081,81773,30951,170805,0.47875062
101,101th_congress,58995,78975,32236,170206,0.46399657
102,102th_congress,56980,91068,26646,174694,0.52130010
103,103th_congress,48658,111376,15449,175483,0.63468256
104,104th_congress,45155,130173,5776,181104,0.71877485
105,105th_congress,44889,108860,12703,166452,0.65400236
106,106th_congress,44506,126776,5069,176351,0.71888450
107,107th_congress,47706,111710,15772,175188,0.63765783
108,108th_congress,41252,122993,2405,166650,0.73803180
109,109th_congress,44627,117760,8716,171103,0.68824042
110,110th_congress,47186,115058,13703,175947,0.65393556
111,111th_congress,61101,144402,11102,216605,0.66666051
112,112th_congress,47355,118468,9453,175276,0.67589402
113,113th_congress,51187,134455,5358,191000,0.70395288
114,114th_congress,41589,118787,5978,166354,0.71406158
115,115th_congress,48826,135215,6760,190801,0.70867029
116,116th_congress,47609,118562,9692,175863,0.67417251
117,117th_congress,42166,118630,5657,166453,0.71269367
118,118th_congress,48103,137384,5310,190797,0.72005325
119,119th_congress,43698,130807,1001,175506,0.74531355
